Result,DF URL,Original URL,Title,Last Valid Web Archive URL,Redirect URL,Redirect Count,Response Code
Redirected,http://daringfireball.net/linked/2015/09/29/st-jude-hackett,http://fundraising.stjude.org/site/TR?px=2803749&fr_id=40881&pg=personal,Donate to St. Jude Memphis for Stephen Hackett,,https://www.stjude.org/get-involved/at-play/fitness-for-st-jude/memphis-marathon.html,,
Reachable,http://daringfireball.net/linked/2015/09/29/enderle-compass,http://www.macworld.com/article/2987079/smartphones/never-not-wrong-saying-apple-should-ditch-its-chips.html,‘The Point Is He Is Not So Much a Broken Clock as a Compass That Points South’,,,,200
Reachable,http://daringfireball.net/linked/2015/09/29/atwood-benchmarks,https://meta.discourse.org/t/the-state-of-javascript-on-android-in-2015-is-poor/33889,The State of JavaScript on Android in 2015 Is Poor,,,,200
Reachable,http://daringfireball.net/linked/2015/09/29/dediu-great-products,http://www.asymco.com/2015/09/29/what-it-means-to-be-great/,What It Means to Be a Great Product,,,,200
Reachable,http://daringfireball.net/linked/2015/09/29/philly-without-cars,https://www.youtube.com/watch?v=8I0rZZZ8JsQ,Philly Without Cars,,,,200
Redirected,http://daringfireball.net/linked/2015/09/29/china-6s,http://www.theguardian.com/technology/2015/sep/28/iphone-6s-apple-breaks-record-sales-china,Apple’s iPhone 6S Breaks Record as China Boosts Sales to 13M,,https://www.theguardian.com/technology/2015/sep/28/iphone-6s-apple-breaks-record-sales-china,,
Reachable,http://daringfireball.net/linked/2015/09/29/user-interface-of-the-week,https://twitter.com/cabel/status/648680009381511168,User Interface of the Week,,,,200
Redirected,http://daringfireball.net/linked/2015/09/29/business-insider,http://recode.net/2015/09/29/sold-axel-springer-bets-big-on-digital-buys-business-insider/,Axel Springer Buys Business Insider,,http://www.recode.net/2015/9/29/11619000/sold-axel-springer-bets-big-on-digital-buys-business-insider,,
Reachable,http://daringfireball.net/linked/2015/09/29/pixar-ipad-pro,https://twitter.com/drwave/status/648592633615421441?refsrc=email&s=11,Pixar Artists Get Preview of iPad Pro and Apple Pencil,,,,200
Reachable,http://daringfireball.net/linked/2015/09/29/remembering-alex-king,http://ma.tt/2015/09/remembering-alex-king/,Remembering Alex King,,,,200
Reachable,http://daringfireball.net/linked/2015/09/28/hargreaves-iphone-6s-claim-chowder,http://www.cnbc.com/2015/09/17/top-analyst-early-apple-iphone-6s-sales-are-weak.html,Two-Week-Old Claim Chowder: ‘Top Analyst: Early Apple iPhone 6S Sales Are Weak’,,,,200
Reachable,http://daringfireball.net/linked/2015/09/28/bettany-iphone-6s-camera,http://snapsnapsnap.photos/iphone-6s-camera-comparison/,How Does the iPhone 6S Camera Compare to Every Other iPhone Generation,,,,200
Reachable,http://daringfireball.net/linked/2015/09/28/samsung-tsmc-a9,http://www.chipworks.com/about-chipworks/overview/blog/a9-is-tsmc-16nm-finfet-and-samsung-fabbed,Apple Is Sourcing A9 Chips From Both Samsung and TSMC,,,,200
Too Many Redirects,http://daringfireball.net/linked/2015/09/28/conversation-iphone-world,http://www.nytimes.com/2015/09/27/opinion/sunday/stop-googling-lets-talk.html,Conversation in the Post-iPhone World,,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2F2015%2F09%2F27%2Fopinion%2Fsunday%2Fstop-googling-lets-talk.html%3F_r%3D2,5,
Reachable,http://daringfireball.net/linked/2015/09/28/chen-show,http://www.bnn.ca/Video/player.aspx?vid=713580,BlackBerry CEO John Chen Shows Off the Android-Based Priv,,,,200
Reachable,http://daringfireball.net/linked/2015/09/28/pope-philly-restaurants,http://www.philly.com/philly/blogs/real-time/Dining-out-deals.html,Business Dry at Philly Restaurants During Papal Visit,,,,200
Reachable,http://daringfireball.net/linked/2015/09/28/iphone-6s-water-resistance,https://www.youtube.com/watch?t=193&v=t_HbztTpL08,iPhone 6S Water Test,,,,200
Reachable,http://daringfireball.net/linked/2015/09/28/cocoalove-tickets,http://cocoalove.org/last-minute.html,CocoaLove 2015 Last-Minute Tickets,,,,200
Reachable,http://daringfireball.net/linked/2015/09/28/record-iphone-sales,http://www.apple.com/pr/library/2015/09/28Apple-Announces-Record-iPhone-6s-iPhone-6s-Plus-Sales.html,Apple Announces Record Opening-Weekend iPhone Sales for 6S and 6S Plus,,,,200
Redirected,http://daringfireball.net/linked/2015/09/28/pell-news-is-different,https://medium.com/@davepell/news-is-different-10015579ebe4,Dave Pell: ‘News Is Different’,,https://medium.com/keep-learning-keep-growing/news-is-different-10015579ebe4,,
Reachable,http://daringfireball.net/linked/2015/09/28/ipads-dugout,http://m.mlb.com/news/article/151292984/cardinals-go-high-tech-in-the-dugout,iPads in the Dugout,,,,200
Reachable,http://daringfireball.net/linked/2015/09/26/mapbox-ios-sdk,https://www.mapbox.com/mobile/,Mapbox iOS SDK,,,,200
Reachable,http://daringfireball.net/linked/2015/09/26/brooks-content-blockers,https://brooksreview.net/2015/09/content-blocker-test/,Ben Brooks Surveys the iOS Content Blocker Field,,,,200
Reachable,http://daringfireball.net/linked/2015/09/26/10up-ios-content-blocking,http://10up.com/blog/2015/ios-9-content-blockers-analysis-whitepaper/,Projecting the Ad Revenue Effect of iOS 9 Content Blocking,,,,200
Reachable,http://daringfireball.net/linked/2015/09/24/graphics-c64-nes,https://www.youtube.com/watch?v=Tfh0ytz8S0k,How Graphics Worked on the Commodore 64 and Nintendo Entertainment System,,,,200
Reachable,http://daringfireball.net/linked/2015/09/24/apple-app-slicing,https://developer.apple.com/news/?id=092415a&1443125762,App Slicing Currently Unavailable,,,,200
Reachable,http://daringfireball.net/linked/2015/09/24/panzarino-iphones-6s,http://techcrunch.com/2015/09/22/review-apples-iphone-6s-and-6s-plus-go-tick/,Matthew Panzarino on the iPhones 6S,,,,200
Reachable,http://daringfireball.net/linked/2015/09/24/giga-de-iphones-6s-ois,https://www.youtube.com/watch?v=WDq1QN1oLSw,iPhone 6s vs. iPhone 6s Plus: Digital and Optical Image Stabilization at 4K,,,,200
Reachable,http://daringfireball.net/linked/2015/09/24/fake-traffic-schemes,http://www.bloomberg.com/features/2015-click-fraud/,The Fake Traffic Schemes That Are Rotting the Internet,,,,200
Reachable,http://daringfireball.net/linked/2015/09/24/upton-sinclair-understand-something,http://www.goodreads.com/quotes/21810-it-is-difficult-to-get-a-man-to-understand-something,Upton Sinclair: ‘It Is Difficult to Get a Man to Understand Something When His Salary Depends on His Not Understanding It’,,,,200
Reachable,http://daringfireball.net/linked/2015/09/24/david-smith-16-gb,https://david-smith.org/blog/2015/09/10/16gb-is-a-bad-user-experience/,David Smith: ‘16 GB Is a Bad User Experience’,,,,200
Too Many Redirects,http://daringfireball.net/linked/2015/09/24/yogi-steinbrenner,http://www.nytimes.com/2015/09/24/sports/baseball/yogi-berras-second-act-as-elder-statesman-as-glorious-as-the-first.html,"Yogi, the Elder Statesman",,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2F2015%2F09%2F24%2Fsports%2Fbaseball%2Fyogi-berras-second-act-as-elder-statesman-as-glorious-as-the-first.html%3F_r%3D2,5,
Reachable,http://daringfireball.net/linked/2015/09/24/vw-bmw,http://www.cnbc.com/2015/09/24/bmw-shares-slip-on-report-of-high-emission-levels.html,VW Not the Only Carmaker Cheating on Emissions Tests?,,,,200
Reachable,http://daringfireball.net/linked/2015/09/24/us-lte,http://www.macworld.com/article/2985916/mobile/us-rank-drops-to-55th-in-4g-lte-speeds.html,U.S. Drops to 55th in 4G LTE Speeds,,,,200
Reachable,http://daringfireball.net/linked/2015/09/23/thompson-utility-color,https://twitter.com/benthompson/status/646144090707378176,More on Color Complications on the Utility Apple Watch Face,,,,200
Reachable,http://daringfireball.net/linked/2015/09/23/berra-one-of-a-kind,http://fivethirtyeight.com/datalab/baseball-yogi-berra-dies-at-90-yankees/,Yogi Berra: One of a Kind,,,,200
Reachable,http://daringfireball.net/linked/2015/09/23/pebble-round,http://www.theverge.com/2015/9/23/9372899/pebble-time-round-smartwatch-announcement-availability,Pebble Round,,,,200
Reachable,http://daringfireball.net/linked/2015/09/23/ad-industry,http://adage.com/article/digitalnext/ad-blocking-unnecessary-internet-apocalypse/300470/,The Ad Industry’s Perspective,,,,200
Too Many Redirects,http://daringfireball.net/linked/2015/09/23/yogi,http://www.nytimes.com/2015/09/24/sports/baseball/yogi-berra-dies-at-90-yankees-baseball-catcher.html,"Yogi Berra, 10-Time World Series Champ, 3-Time MVP, Beloved Class Act, Dies at 90",,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2F2015%2F09%2F24%2Fsports%2Fbaseball%2Fyogi-berra-dies-at-90-yankees-baseball-catcher.html%3F_r%3D2,5,
Too Many Redirects,http://daringfireball.net/linked/2015/09/23/ebooks-sales-slip,http://www.nytimes.com/2015/09/23/business/media/the-plot-twist-e-book-sales-slip-and-print-is-far-from-dead.html,"NYT: ‘E-Book Sales Slip, and Print Is Far From Dead’",,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2F2015%2F09%2F23%2Fbusiness%2Fmedia%2Fthe-plot-twist-e-book-sales-slip-and-print-is-far-from-dead.html%3F_r%3D2,5,
Reachable,http://daringfireball.net/linked/2015/09/23/xcodeghost,https://www.apple.com/cn/xcodeghost/#english,Apple’s XcodeGhost FAQ,,,,200
Reachable,http://daringfireball.net/linked/2015/09/23/savov-apple-bias,http://www.theverge.com/2015/9/23/9381325/apple-bias-iphone-reviews-day,The Apple Bias,,,,200
Reachable,http://daringfireball.net/linked/2015/09/21/iphone-6s-plus-sports-illustrated,http://www.si.com/mlb/photos/2015/09/21/iphone-6s-plus-sneak-preview-photos-si,Capturing Baseball With an iPhone 6S Plus,,,,200
Reachable,http://daringfireball.net/linked/2015/09/21/the-deck-privacy,http://decknetwork.net/privacy/,The Deck’s Privacy Policy,,,,200
Reachable,http://daringfireball.net/linked/2015/09/21/apple-car-money-pit,http://finance.yahoo.com/video/apple-car-gigantic-money-pit-203400367.html?.tsrc=applewf,Former GM Vice Chairman: Apple Car a ‘Gigantic Money Pit’,,,,200
Reachable,http://daringfireball.net/linked/2015/09/21/ritchie-watchos-2,http://www.imore.com/watchos-2-review,Rene Ritchie’s WatchOS 2 Review,,,,200
Reachable,http://daringfireball.net/linked/2015/09/21/watchos-2,http://techcrunch.com/2015/09/21/apple-releases-watchos-2/,Apple Releases WatchOS 2.0,,,,200
Reachable,http://daringfireball.net/linked/2015/09/21/wsj-apple-car,http://www.wsj.com/article_email/apple-speeds-up-electric-car-work-1442857105-lMyQjAxMTE1NzIyMTAyMTEwWj,WSJ: Apple Car Now a ‘Committed Project’,,,,200
Redirected,http://daringfireball.net/linked/2015/09/21/ios-malware,http://www.reuters.com/article/2015/09/20/us-apple-china-malware-idUSKCN0RK0ZB20150920,Apple Removes Over 50 Malware-Infected Apps From iOS App Store,,http://www.reuters.com/article/us-apple-china-malware-idUSKCN0RK0ZB20150920,,
Reachable,http://daringfireball.net/linked/2015/09/21/zerodium,https://www.zerodium.com/ios9.html,Zerodium Million Dollar iOS 9 Bug Bounty,,,,200
Reachable,http://daringfireball.net/linked/2015/09/21/kontra-ad-block,https://twitter.com/counternotions/status/645598372166893568,A Concise Summation of the Ad Block War,,,,200
Reachable,http://daringfireball.net/linked/2015/09/21/pope-francis-iphone-6s,http://www.macrumors.com/2015/09/19/pope-francis-visit-iphone-6s-delays-nyc-philly/,Pope Francis Visit to New York and Philadelphia Will Delay iPhone 6S Deliveries,,,,200
Reachable,http://daringfireball.net/linked/2015/09/21/godin-ad-blocking,http://sethgodin.typepad.com/seths_blog/2015/09/ad-blocking.html,Seth Godin on Ad Blocking,,,,200
Reachable,http://daringfireball.net/linked/2015/09/20/macupdate-fall-bundle,http://deals.macupdate.com/bundle/affil/8000?utm_source=bundles&utm_medium=ads&utm_content=daringfireball&utm_campaign=fall2015,MacUpdate’s Fall 2015 Bundle,,,,200
Redirected,http://daringfireball.net/linked/2015/09/20/wired-apple-news,http://www.wired.com/2015/09/bjarke-ingels-2-world-trade-center-wtc/,Wired Gives Apple News Four-Day Exclusive on Feature Story,,http://www.wired.com/2015/09/bjarke-ingels-2-world-trade-center-wtc-2/,,
Redirected,http://daringfireball.net/linked/2015/09/19/ad-blocking-irony,http://www.subtraction.com/2015/09/19/ad-blocking-irony/,Ad Blocking Irony,,https://www.subtraction.com/2015/09/19/ad-blocking-irony/,,
Too Many Redirects,http://daringfireball.net/linked/2015/09/19/nyt-ad-blockers-ios-9,http://www.nytimes.com/2015/09/19/technology/apple-ios-9s-enabling-of-ad-blocking-prompts-backlash.html,NYT: ‘Enabling of Ad Blocking in Apple’s iOS 9 Prompts Backlash’,,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2F2015%2F09%2F19%2Ftechnology%2Fapple-ios-9s-enabling-of-ad-blocking-prompts-backlash.html%3F_r%3D2,5,
Reachable,http://daringfireball.net/linked/2015/09/18/cnet-ad-block-war,http://www.loopinsight.com/2015/09/18/and-so-it-begins/,Begun the Ad-Blocking Wars Have,,,,200
Reachable,http://daringfireball.net/linked/2015/09/18/poppling-the-publishing-bubble,https://stratechery.com/2015/popping-the-publishing-bubble/,Popping the Publishing Bubble,,,,200
Reachable,http://daringfireball.net/linked/2015/09/18/bajarin-apple-watch-customer-sat,https://techpinions.com/the-state-of-apple-watch-satisfaction/41126,Apple Watch Satisfaction,,,,200
