Result,DF URL,Original URL,Title,Last Valid Web Archive URL,Redirect URL,Redirect Count,Response Code
Redirected,http://daringfireball.net/linked/2015/10/21/simms-6s,http://www.aleenmean.com/2015/09/29/ginormous-iphone/,Why Aleen Simms Bought a Ginormous iPhone,,https://www.aleenmean.com/2015/09/29/ginormous-iphone/,,
Reachable,http://daringfireball.net/linked/2015/10/21/youtube-google,http://techcrunch.com/2015/10/21/an-offer-creators-cant-refuse/,YouTube to Video Creators: You’ll Agree to the Red Subscription Deal and You’ll Like It,,,,200
Reachable,http://daringfireball.net/linked/2015/10/20/cook-music,http://www.wsj.com/articles/apple-ceo-tim-cook-apple-music-has-15-million-users-1445319068,"Tim Cook: Apple Music Has 15 Million Users, 6.5 Million of them Paying",,,,200
Reachable,http://daringfireball.net/linked/2015/10/20/us-eu-safe-harbor,http://blogs.microsoft.com/on-the-issues/2015/10/20/the-collapse-of-the-us-eu-safe-harbor-solving-the-new-privacy-rubiks-cube/,The Collapse of the US-EU Safe Harbor,,,,200
Reachable,http://daringfireball.net/linked/2015/10/19/michael-dell,https://www.youtube.com/watch?v=yeiI8cd5rO4&feature=youtu.be,‘Michael Dell’,,,,200
Reachable,http://daringfireball.net/linked/2015/10/19/lively,http://lively.tinywhale.net/,Lively,,,,200
Reachable,http://daringfireball.net/linked/2015/10/19/strange-saga-of-steve-jobs,http://www.hollywoodreporter.com/features/a-widows-threats-high-powered-829925,The Strange Saga of ‘Steve Jobs’,,,,200
Reachable,http://daringfireball.net/linked/2015/10/17/the-talk-show-133,http://daringfireball.net/thetalkshow/2015/10/17/ep-133,The Talk Show: ‘The MacGuffin Tractor’,,,,200
Reachable,http://daringfireball.net/linked/2015/10/16/iconic,http://iconicbook.myshopify.com/collections/daring-fireball,Iconic,,,,200
Reachable,http://daringfireball.net/linked/2015/10/16/htc-a9,http://bgr.com/2015/10/15/htc-one-a9-photos-leak-orange/,HTC One A9 Photos Leak,,,,200
Reachable,http://daringfireball.net/linked/2015/10/16/intel-iphone,http://venturebeat.com/2015/10/16/intel-has-1000-people-working-on-chips-for-the-iphone/,"VentureBeat: Intel Has 1,000 People Working on Chips for the iPhone",,,,200
Redirected,http://daringfireball.net/linked/2015/10/16/hackett-notes,http://www.512pixels.net/blog/2015/10/notes-on-notesapp,Notes on Notes.app,,http://512pixels.net/2015/10/notes-on-notesapp/,,
Reachable,http://daringfireball.net/linked/2015/10/16/new-researchkit-studies,http://www.apple.com/pr/library/2015/10/15Apple-Announces-New-ResearchKit-Studies-for-Autism-Epilepsy-Melanoma.html,"Apple Announces New ResearchKit Studies for Autism, Epilepsy, and Melanoma",,,,200
Reachable,http://daringfireball.net/linked/2015/10/15/cook-apple-rsu,http://9to5mac.com/2015/10/14/tim-cook-memo-apple-launches-rsu-shares-program-for-all-employees-to-retain-talent/,Tim Cook Announces New ‘Restricted Stock Units’ Program for Apple Employees,,,,200
Reachable,http://daringfireball.net/linked/2015/10/15/flash-uninstall,http://bgr.com/2015/10/15/adobe-flash-player-security-vulnerability-warning/,"Adobe Confirms Major Flash Vulnerability, and the Only Fix Is to Uninstall Flash",,,,200
Reachable,http://daringfireball.net/linked/2015/10/15/pixelmator-34,http://www.pixelmator.com/distort-extension/,Pixelmator 3.4,,,,200
Reachable,http://daringfireball.net/linked/2015/10/15/iwork-updates,https://www.apple.com/productivity-apps/whats-new/pages/,Apple Updates iWork Mac and iOS Apps With Support for Latest Versions of OS X and iOS,,,,200
Redirected,http://daringfireball.net/linked/2015/10/15/gary-allen,http://www.washingtonpost.com/news/local/wp/2015/10/15/apples-biggest-fan-has-died/,"Gary Allen, Writer of ifo Apple Store, Dies at 67",,https://www.washingtonpost.com/news/local/wp/2015/10/15/apples-biggest-fan-has-died/,,
Reachable,http://daringfireball.net/linked/2015/10/15/ritchie-distance-activation,http://www.imore.com/siri-silent-control-hack-what-you-need-know,Rene Ritchie on the Siri ‘Distance Activation Hack’,,,,200
Reachable,http://daringfireball.net/linked/2015/10/15/ibm-macs,http://appleinsider.com/articles/15/10/15/only-5-of-mac-users-at-ibm-need-help-desk-support-compared-to-40-of-pc-users,"Only 5 Percent of Mac Users at IBM Need Help Desk Support, Compared to 40 Percent of PC Users",,,,200
Redirected,http://daringfireball.net/linked/2015/10/14/tech-prices,http://www.businessinsider.com/historical-price-trends-for-tech-products-2015-10,Historical Price Trends for Tech Products,,http://uk.businessinsider.com/historical-price-trends-for-tech-products-2015-10?r=US&IR=T,,
Reachable,http://daringfireball.net/linked/2015/10/14/red-drum-getaway,https://vimeo.com/142100873,The Red Drum Getaway,,,,200
Redirected,http://daringfireball.net/linked/2015/10/14/apple-university-of-wisconsin,http://www.reuters.com/article/2015/10/13/us-apple-wisconsin-patent-idUSKCN0S72T320151013,Apple Loses Patent Lawsuit to University of Wisconsin,,http://www.reuters.com/article/us-apple-wisconsin-patent-idUSKCN0S72T320151013,,
Reachable,http://daringfireball.net/linked/2015/10/14/fixed,http://techcrunch.com/2015/10/12/fixed-the-app-that-fixes-your-parking-tickets-gets-blocked-in-san-francisco-oakland-l-a/,"Fixed, the App That Fixes Your Parking Tickets, Gets Blocked in San Francisco, Oakland, and Los Angeles",,,,200
Reachable,http://daringfireball.net/linked/2015/10/14/clicker,http://blog.iconfactory.com/2015/10/a-clicker-for-your-ticker/,Clicker 1.0,,,,200
Reachable,http://daringfireball.net/linked/2015/10/14/twitter-kordestani,http://www.cnbc.com/2015/10/14/twitter-names-omid-kordestani-as-executive-chairman.html,Twitter Names Omid Kordestani as Executive Chairman,,,,200
Reachable,http://daringfireball.net/linked/2015/10/14/computer-show,http://computer.show/,Computer Show,,,,200
Reachable,http://daringfireball.net/linked/2015/10/13/cheney-apple-platform-advantage,http://stevecheney.com/on-apples-incredible-platform-advantage/,On Apple’s ‘Insurmountable’ Platform Advantage,,,,200
Redirected,http://daringfireball.net/linked/2015/10/13/levy-apple-behind-the-scenes,https://medium.com/backchannel/exclusive-why-apple-is-still-sweating-the-details-on-imac-531a95e50c91,"Behind the Scenes on the Design of Apple’s New Trackpads, Keyboards, and iMacs ",,https://backchannel.com/exclusive-why-apple-is-still-sweating-the-details-on-imac-531a95e50c91?gi=66692dd8d0fa,,
Reachable,http://daringfireball.net/linked/2015/10/13/android-security-lemons,http://www.zdnet.com/article/android-security-a-market-for-lemons-that-leaves-87-percent-insecure/,Android Security a ‘Market for Lemons’ That Leaves 87 Percent Vulnerable,,,,200
Reachable,http://daringfireball.net/linked/2015/10/13/imac-then-and-now,http://www.apple.com/imac/then-and-now/,iMac: Then and Now,,,,200
Too Many Redirects,http://daringfireball.net/linked/2015/10/13/playboy,http://www.nytimes.com/2015/10/13/business/media/nudes-are-old-news-at-playboy.html,Playboy to Drop Nude Photos,,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2F2015%2F10%2F13%2Fbusiness%2Fmedia%2Fnudes-are-old-news-at-playboy.html%3F_r%3D2,5,
Reachable,http://daringfireball.net/linked/2015/10/13/apple-ebook-monitoring,http://www.bloomberg.com/news/articles/2015-10-13/apple-e-book-antitrust-monitoring-may-end-after-rocky-course,Apple E-Book Antitrust Monitoring May End,,,,200
Reachable,http://daringfireball.net/linked/2015/10/13/jargon-dorsey,http://qz.com/522824/jack-dorseys-jargon-free-firing-memo-edited-to-remove-the-jargon/,Rewriting Jack Dorsey’s ‘Jargon-Free’ Firing Memo,,,,200
Redirected,http://daringfireball.net/linked/2015/10/13/twitter-layoffs,http://recode.net/2015/10/13/twitter-will-cut-more-than-300-employees-8-percent-of-staff/,"Twitter Laying Off Over 300 Employees, 8 Percent of Staff",,http://www.recode.net/2015/10/13/11619520/twitter-will-cut-more-than-300-employees-8-percent-of-staff,,
Reachable,http://daringfireball.net/linked/2015/10/13/words-for-mom-and-dad,http://www.theatlantic.com/international/archive/2015/10/words-mom-dad-similar-languages/409810/?single_page=true,Why the Words for ‘Mom’ and ‘Dad’ Sound So Similar in So Many Languages,,,,200
Too Many Redirects,http://daringfireball.net/linked/2015/10/12/election-donors,http://www.nytimes.com/interactive/2015/10/11/us/politics/2016-presidential-election-super-pac-donors.html?smid=tw-bna,The Families Funding the 2016 Presidential Election,,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2Finteractive%2F2015%2F10%2F11%2Fus%2Fpolitics%2F2016-presidential-election-super-pac-donors.html%3Fsmid%3Dtw-bna%26_r%3D2,5,
Redirected,http://daringfireball.net/linked/2015/10/12/levy-hp-ipod,https://medium.com/backchannel/how-steve-jobs-fleeced-carly-fiorina-79d1380663de,‘We Knew We Were Snowing Them the Entire Time!’,,https://backchannel.com/how-steve-jobs-fleeced-carly-fiorina-79d1380663de?gi=708a8a95b4cc,,
Reachable,http://daringfireball.net/linked/2015/10/11/meh,https://meh.com/?utm_source=daringfireball&utm_medium=sponsor&utm_campaign=straight,meh.com,,,,200
Too Many Redirects,http://daringfireball.net/linked/2015/10/11/trump-twitter,http://www.nytimes.com/2015/10/06/us/politics/donald-trump-twitter-use-campaign-2016.html,Donald Trump and Twitter,,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2F2015%2F10%2F06%2Fus%2Fpolitics%2Fdonald-trump-twitter-use-campaign-2016.html%3F_r%3D2,5,
Reachable,http://daringfireball.net/linked/2015/10/09/fixing-safari-view-controller,http://www.studioneat.com/blogs/main/52176836-fixing-safari-view-controller,Fixing Safari View Controller,,,,200
Reachable,http://daringfireball.net/linked/2015/10/09/tetzeli-steve-jobs-movie,http://www.fastcompany.com/3052103/innovation-agents/why-the-steve-jobs-in-aaron-sorkins-movie-could-never-have-saved-apple,Rick Tetzeli: ‘The Steve Jobs in Aaron Sorkin’s Movie Could Never Have Saved Apple’,,,,200
Reachable,http://daringfireball.net/linked/2015/10/09/jalkut-medium-markdown,https://red-sweater.com/blog/3079/mediums-new-api,Medium’s New API,,,,200
Redirected,http://daringfireball.net/linked/2015/10/09/overcast-2,http://www.marco.org/2015/10/09/overcast2,Overcast 2,,https://marco.org/2015/10/09/overcast2,,
Reachable,http://daringfireball.net/linked/2015/10/08/samsung-tsmc-a9,http://techcrunch.com/2015/10/08/apple-says-battery-performance-of-new-iphones-a9-chips-vary-only-2-3/,Apple Says Battery Performance of New iPhones’ A9 Chips Vary Only 2-3 Percent,,,,200
Reachable,http://daringfireball.net/linked/2015/10/08/phone-market-vance,http://www.bloomberg.com/news/articles/2015-10-08/it-s-apple-s-world-so-why-do-other-smartphone-makers-even-bother-,Bloomberg on Apple’s Utter Dominance of Phone Market,,,,200
Reachable,http://daringfireball.net/linked/2015/10/08/abcxyz,http://www.domaininvesting.com/abcdefghijklmnopqrstuvwxyz-com-now-owned-by-google/,Important Domain Name Registration,,,,200
Reachable,http://daringfireball.net/linked/2015/10/08/harry-potter-ibooks,http://www.apple.com/pr/library/2015/10/08Enhanced-Editions-of-Harry-Potter-Series-Now-Available-Exclusively-on-iBooks-for-iPhone-iPad-iPod-touch.html,Enhanced Editions of Harry Potter Series Now Available Exclusively on iBooks,,,,200
Reachable,http://daringfireball.net/linked/2015/10/08/microsoft-lumia-950,http://www.microsoft.com/en-us/mobile/phone/lumia950/,Microsoft Lumia 950,,,,200
Reachable,http://daringfireball.net/linked/2015/10/08/winer-fat-tweets,http://scripting.com/2015/10/02/whatWouldAFatTweetLookLike.html,How Will Twitter Break the 140-Character Limit?,,,,200
Reachable,http://daringfireball.net/linked/2015/10/08/ipulse-3,http://blog.iconfactory.com/2015/10/a-new-life-for-ipulse/,iPulse 3,,,,200
Too Many Redirects,http://daringfireball.net/linked/2015/10/07/looppay,http://www.nytimes.com/2015/10/08/technology/chinese-hackers-breached-looppay-a-contributor-to-samsung-pay.html,"NYT: ‘Chinese Hackers Breached LoopPay, Whose Tech Is Central to Samsung Pay’",,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2F2015%2F10%2F08%2Ftechnology%2Fchinese-hackers-breached-looppay-a-contributor-to-samsung-pay.html%3F_r%3D2,5,
Reachable,http://daringfireball.net/linked/2015/10/07/viticci-tweetbot-4,https://www.macstories.net/reviews/tweetbot-4-review-bigger-bot/,Federico Viticci’s Tweetbot 4 Review,,,,200
Reachable,http://daringfireball.net/linked/2015/10/07/tweetbot-4,http://tapbots.com/tweetbot/,Tweetbot 4,,,,200
Reachable,http://daringfireball.net/linked/2015/10/07/fantastical,https://flexibits.com/fantastical,Fantastical Updates,,,,200
Reachable,http://daringfireball.net/linked/2015/10/07/snowball,http://techcrunch.com/2015/10/07/amazon-launches-snowball-a-rugged-storage-appliance-for-importing-data-to-aws-by-fedex/,Snowball: New Rugged Storage Appliance From Amazon for Importing Data to AWS Via Fedex,,,,200
Redirected,http://daringfireball.net/linked/2015/10/07/cook-apple-tv-search,http://www.buzzfeed.com/johnpaczkowski/tim-cook-talks-apple-tv,Universal Search on Apple TV Will Be an API for Developers,,https://www.buzzfeed.com/johnpaczkowski/tim-cook-talks-apple-tv,,
Reachable,http://daringfireball.net/linked/2015/10/07/waterstones-kindles,http://www.thebookseller.com/news/waterstones-removing-kindles-stores-313827,Waterstones Is Removing Kindles From Stores,,,,200
Redirected,http://daringfireball.net/linked/2015/10/06/porsche-android,http://www.motortrend.com/features/mt_hot_list/13_cool_facts_about_the_2017_porsche_911/,Porsche Refuses Android Auto Privacy Terms,,http://www.motortrend.com/news/13-cool-facts-about-the-2017-porsche-911/,,
Reachable,http://daringfireball.net/linked/2015/10/06/sony-xperia-z4v,http://www.theverge.com/2015/10/5/9455389/sony-verizon-xperia-z4v-cancelled,Sony and Verizon Cancel Launch of Xperia Z4V Phone,,,,200
Reachable,http://daringfireball.net/linked/2015/10/06/swiss-tv-station,http://petapixel.com/2015/09/29/swiss-tv-station-replaces-cameras-with-iphones-and-selfie-sticks/,Swiss TV Station Replaces Cameras With iPhones,,,,200
Reachable,http://daringfireball.net/linked/2015/10/06/surface-book,http://www.wired.com/2015/10/microsofts-surface-book-looks-like-ultimate-hybrid-pc/,Microsoft’s Surface Book: Detachable Professional Laptop,,,,200
Reachable,http://daringfireball.net/linked/2015/10/05/cook-jobs,http://www.ibtimes.com/apple-ceo-tim-cook-implores-staff-learn-what-steve-jobs-was-really-2126985,Tim Cook Marks the Fourth Anniversary of Steve Jobs’s Death in Memo to Employees,,,,200
Reachable,http://daringfireball.net/linked/2015/10/05/powell-jobs-movie,http://www.wsj.com/articles/apple-co-founders-allies-take-aim-at-hollywood-over-steve-jobs-1444000308?mod=e2tw,WSJ: Laurene Powell Jobs ‘Tried to Kill’ Upcoming Hollywood Biopic,,,,200
Redirected,http://daringfireball.net/linked/2015/10/05/honan-google-car,http://www.buzzfeed.com/mathonan/googles-cute-cars-and-the-ugly-end-of-driving,Google’s Cute Cars and the Ugly End of Driving,,https://www.buzzfeed.com/mathonan/googles-cute-cars-and-the-ugly-end-of-driving,,
Redirected,http://daringfireball.net/linked/2015/10/05/evernote-trouble,http://www.businessinsider.com/evernote-is-in-deep-trouble-2015-10,Business Insider: ‘Evernote Is in Deep Trouble’,,http://uk.businessinsider.com/evernote-is-in-deep-trouble-2015-10?r=US&IR=T,,
Reachable,http://daringfireball.net/linked/2015/10/05/amazon-fire-cnet,http://www.cnet.com/products/amazon-fire/,"CNet’s Amazon Fire Review: ‘Not Good, but Good for the Price if You’re a Prime Member’",,,,200
Reachable,http://daringfireball.net/linked/2015/10/05/vaziri-the-talk-show-lengths,https://twitter.com/tvaziri/status/651070349224755200,Charting Episode Lengths of The Talk Show,,,,200
Too Many Redirects,http://daringfireball.net/linked/2015/10/05/aa-bankruptcy,http://www.nytimes.com/2015/10/06/business/american-apparel-files-for-bankruptcy.html,American Apparel Files for Bankruptcy,,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2F2015%2F10%2F06%2Fbusiness%2Famerican-apparel-files-for-bankruptcy.html%3F_r%3D2,5,
Reachable,http://daringfireball.net/linked/2015/10/04/mapbox,https://www.mapbox.com/mobile/,Mapbox iOS SDK,,,,200
Reachable,http://daringfireball.net/linked/2015/10/03/the-talk-show-132,http://daringfireball.net/thetalkshow/2015/10/03/ep-132,"The Talk Show: ‘Peace, Porn, and Privacy’",,,,200
Reachable,http://daringfireball.net/linked/2015/10/02/patreon-hacks,http://arstechnica.com/security/2015/10/gigabytes-of-user-data-from-hack-of-patreon-donations-site-dumped-online/,Patreon Hacked; Gigabytes of Source Code and User Data Dumped Online,,,,200
Redirected,http://daringfireball.net/linked/2015/10/02/apple-voiceiq,http://www.ft.com/cms/s/0/7146cec2-6920-11e5-a155-02b6f8af6a62.html,Apple Buys UK-Based Speech Technology Start-Up VocalIQ,,"http://www.ft.com/cms/s/7146cec2-6920-11e5-a155-02b6f8af6a62,Authorised=false.html?siteedition=uk&_i_location=http%3A%2F%2Fwww.ft.com%2Fcms%2Fs%2F0%2F7146cec2-6920-11e5-a155-02b6f8af6a62.html%3Fsiteedition%3Duk&_i_referer=&classification=conditional_standard&iab=barrier-app",,
Redirected,http://daringfireball.net/linked/2015/10/02/dorsey,http://recode.net/2015/10/02/why-jack-dorsey-is-ready-to-save-twitter/,Recode on Jack Dorsey,,http://www.recode.net/2015/10/2/11619126/why-jack-dorsey-is-ready-to-save-twitter,,
Reachable,http://daringfireball.net/linked/2015/10/02/gun-massacres,http://www.economist.com/blogs/democracyinamerica/2015/06/charleston-massacre?fsrc=scn/tw_ec/the_latest_american_mass_killing,The Normalization of Gun Massacres in America,,,,200
Reachable,http://daringfireball.net/linked/2015/10/02/toynbee-tiles-dwindle,http://mobile.philly.com/news/?wss=/philly/news&id=330407441&,"As Toynbee Tiles Dwindle, Philadelphia Streets Department Surfaces as Unlikely Hope for Preservation",,,,200
Too Many Redirects,http://daringfireball.net/linked/2015/10/02/decline-of-big-soda,http://www.nytimes.com/2015/10/04/upshot/soda-industry-struggles-as-consumer-tastes-change.html,The Decline of ‘Big Soda’,,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2F2015%2F10%2F04%2Fupshot%2Fsoda-industry-struggles-as-consumer-tastes-change.html%3F_r%3D2,5,
Reachable,http://daringfireball.net/linked/2015/10/01/facebook-internet,http://qz.com/333313/milliions-of-facebook-users-have-no-idea-theyre-using-the-internet/,Millions of Facebook Users Have No Idea They’re Using the Internet,,,,200
Reachable,http://daringfireball.net/linked/2015/10/01/vlad-savov-nexus-ads,http://www.theverge.com/2015/10/1/9422405/google-android-nexus-5x-6p-phones-ads,Vlad Savov: ‘Google’s Nexus Phones Are Just Ads’,,,,200
Reachable,http://daringfireball.net/linked/2015/10/01/amazon-appletv-chromecast,http://www.bloomberg.com/news/articles/2015-10-01/amazon-will-ban-sale-of-apple-google-video-streaming-devices,Looks Like It’s Time for the U.S. Department of Justice to Investigate Apple Again,,,,200
Too Many Redirects,http://daringfireball.net/linked/2015/10/01/cost-of-mobile-ads,http://www.nytimes.com/interactive/2015/10/01/business/cost-of-mobile-ads.html?_r=0,The Cost of Mobile Ads on 50 News Websites,,http://www.nytimes.com/glogin?URI=http%3A%2F%2Fwww.nytimes.com%2Finteractive%2F2015%2F10%2F01%2Fbusiness%2Fcost-of-mobile-ads.html%3F_r%3D3,5,
Redirected,http://daringfireball.net/linked/2015/10/01/upgrade-56,http://www.relay.fm/upgrade/56,Upgrade Episode 56: The Migration Experience,,https://www.relay.fm/upgrade/56,,
